,Compound,A,B,r(AXII)(Å),r(AVI)(Å),r(BVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),ΔENR,tG,μ,rhombohedral,orthorhombic,tetragonal,cubic
74,Ag2O3,Ag,Ag,1.28,0.95,0.95,1.93,1.93,2.76145322,2.488353231,-2.36975,0.806402627,0.678571429,0,0,0,1
75,AgAlO3,Ag,Al,1.28,0.95,0.54,1.93,1.61,2.76145322,1.892894405,-1.791214286,0.976827925,0.385714286,0,1,0,0
76,AgAsO3,Ag,As,1.28,0.95,0.46,1.93,2.18,2.76145322,1.932227032,-1.389214286,1.018842029,0.328571429,0,0,1,0
77,AgAuO3,Ag,Au,1.28,0.95,0.93,1.93,2.54,2.76145322,2.31369847,-2.055535714,0.813324538,0.664285714,0,0,0,1
78,AgBO3,Ag,B,0.75,0.95,0.27,1.93,2.04,2.76145322,1.624661665,-0.852321429,0.910347054,0.192857143,0,0,0,1
79,AgBaO3,Ag,Ba,1.28,0.95,1.35,1.93,0.89,2.76145322,2.64009357,-3.552321429,0.689107699,0.964285714,0,1,0,0
80,AgBeO3,Ag,Be,1.28,0.95,0.45,1.93,1.57,2.76145322,1.803349248,-1.650392857,1.024349283,0.321428571,0,0,0,1
81,AgBiO3,Ag,Bi,1.28,0.95,0.76,1.93,2.02,2.76145322,2.215655462,-1.992714286,0.877336191,0.542857143,1,0,0,0
82,AgCaO3,Ag,Ca,1.28,0.95,1.0,1.93,1.0,2.76145322,2.318139449,-2.883285714,0.789602572,0.714285714,1,0,0,0
83,AgCdO3,Ag,Cd,1.28,0.95,0.95,1.93,1.69,2.76145322,2.286435201,-2.479464286,0.806402627,0.678571429,0,0,0,1
84,AgCeO3,Ag,Ce,1.28,0.95,0.94,1.93,1.12,2.76145322,2.268642439,-2.722357143,0.809848792,0.671428571,0,1,0,0
85,AgCoO3,Ag,Co,1.28,0.95,0.63,1.93,1.88,2.76145322,1.930310969,-1.826892857,0.933520283,0.45,0,1,0,0
86,AgCrO3,Ag,Cr,1.28,0.95,0.49,1.93,1.66,2.76145322,1.960053288,-1.679964286,1.002669933,0.35,0,1,0,0
87,AgCsO3,Ag,Cs,1.28,0.95,1.67,1.93,0.79,2.76145322,3.009747218,-4.16375,0.617278884,1.192857143,0,0,0,1
88,AgCuO3,Ag,Cu,1.28,0.95,0.68,1.93,1.9,2.76145322,2.005573846,-1.906142857,0.911079891,0.485714286,0,1,0,0
89,AgDyO3,Ag,Dy,1.28,0.95,0.99,1.93,1.22,2.76145322,2.255580699,-2.765035714,0.792906349,0.707142857,0,0,0,1
90,AgErO3,Ag,Er,1.28,0.95,0.89,1.93,1.24,2.76145322,2.250676638,-2.579107143,0.82753108,0.635714286,0,0,0,1
91,AgEuO3,Ag,Eu,1.28,0.95,1.06,1.93,1.2,2.76145322,2.354367494,-2.897928571,0.770343973,0.757142857,0,1,0,0
92,AgFeO3,Ag,Fe,1.28,0.95,0.67,1.93,1.83,2.76145322,1.999521816,-1.920464286,0.915481243,0.478571429,0,1,0,0
93,AgGaO3,Ag,Ga,1.28,0.95,0.62,1.93,1.81,2.76145322,1.974643898,-1.841214286,0.93814167,0.442857143,0,1,0,0
94,AgGdO3,Ag,Gd,1.28,0.95,0.94,1.93,1.2,2.76145322,2.28415608,-2.685785714,0.809848792,0.671428571,0,0,0,1
95,AgGeO3,Ag,Ge,1.28,0.95,0.63,1.93,2.01,2.76145322,1.899964183,-1.767464286,0.933520283,0.45,0,1,0,0
96,AgHfO3,Ag,Hf,1.28,0.95,0.71,1.93,1.3,2.76145322,2.027412322,-2.233464286,0.898126149,0.507142857,0,1,0,0
97,AgHgO3,Ag,Hg,1.28,0.95,1.11,1.93,2.0,2.76145322,2.323654714,-2.620607143,0.754998476,0.792857143,0,0,0,1
98,AgHoO3,Ag,Ho,1.28,0.95,0.9,1.93,1.23,2.76145322,2.25865608,-2.601357143,0.823933119,0.642857143,0,0,0,1
99,AgInO3,Ag,In,1.28,0.95,0.8,1.93,1.78,2.76145322,2.147680955,-2.173142857,0.861384624,0.571428571,0,0,0,1
100,AgIrO3,Ag,Ir,1.28,0.95,0.57,1.93,2.2,2.76145322,2.009082787,-1.574535714,0.961952372,0.407142857,1,0,0,0
101,AgKO3,Ag,K,1.28,0.95,1.38,1.93,0.82,2.76145322,2.723507129,-3.637357143,0.681671285,0.985714286,0,0,0,1
102,AgLaO3,Ag,La,1.28,0.95,1.03,1.93,1.1,2.76145322,2.376509378,-2.890607143,0.779854392,0.735714286,0,1,0,0
103,AgLiO3,Ag,Li,1.28,0.95,0.76,1.93,0.98,2.76145322,2.095547886,-2.468142857,0.877336191,0.542857143,0,0,0,1
104,AgLuO3,Ag,Lu,1.28,0.95,0.86,1.93,1.27,2.76145322,2.209114963,-2.512357143,0.838516006,0.614285714,0,0,0,1
105,AgMgO3,Ag,Mg,1.28,0.95,0.72,1.93,1.31,2.76145322,2.046489492,-2.246571429,0.893889705,0.514285714,0,0,0,1
106,AgMnO3,Ag,Mn,1.28,0.95,0.62,1.93,1.55,2.76145322,2.16999357,-1.960071429,0.93814167,0.442857143,0,1,0,0
107,AgMoO3,Ag,Mo,1.28,0.95,0.61,1.93,2.16,2.76145322,1.7893,-1.663535714,0.942809042,0.435714286,0,0,0,1
108,AgNaO3,Ag,Na,1.28,0.95,1.02,1.93,0.93,2.76145322,2.425828064,-2.950642857,0.783076931,0.728571429,0,0,0,1
109,AgNbO3,Ag,Nb,1.28,0.95,0.64,1.93,1.6,2.76145322,1.955055241,-1.972571429,0.928944203,0.457142857,1,0,0,0
110,AgNdO3,Ag,Nd,1.28,0.95,0.98,1.93,1.14,2.76145322,2.320966993,-2.783928571,0.796237888,0.7,0,0,0,1
111,AgNiO3,Ag,Ni,1.28,0.95,0.59,1.93,1.91,2.76145322,2.103725488,-1.742464286,0.952284509,0.421428571,0,1,0,0
113,AgOsO3,Ag,Os,1.28,0.95,0.57,1.93,2.2,2.76145322,1.954921624,-1.574535714,0.961952372,0.407142857,1,0,0,0
115,AgPbO3,Ag,Pb,1.28,0.95,0.99,1.93,2.33,2.76145322,2.362863567,-2.257607143,0.792906349,0.707142857,0,1,0,0
116,AgPdO3,Ag,Pd,1.28,0.95,0.75,1.93,2.2,2.76145322,2.04250519,-1.89275,0.881416825,0.535714286,0,1,0,0
118,AgPrO3,Ag,Pr,1.28,0.95,0.92,1.93,1.13,2.76145322,2.340791612,-2.682428571,0.816830247,0.657142857,0,1,0,0
119,AgPtO3,Ag,Pt,1.28,0.95,0.67,1.93,2.28,2.76145322,2.64390067,-1.71475,0.915481243,0.478571429,0,1,0,0
120,AgPuO3,Ag,Pu,1.28,0.95,0.83,1.93,1.28,2.76145322,2.226583834,-2.45475,0.84979649,0.592857143,0,1,0,0
121,AgRbO3,Ag,Rb,1.28,0.95,1.52,1.93,0.82,2.76145322,2.825996661,-3.884857143,0.648988416,1.085714286,0,0,0,1
122,AgReO3,Ag,Re,1.28,0.95,0.58,1.93,1.9,2.76145322,1.98797081,-1.729357143,0.957094027,0.414285714,0,0,0,1
123,AgRhO3,Ag,Rh,1.28,0.95,0.61,1.93,2.28,2.76145322,2.001424352,-1.608678571,0.942809042,0.435714286,0,1,0,0
124,AgRuO3,Ag,Ru,1.28,0.95,0.57,1.93,2.2,2.76145322,2.018753288,-1.574535714,0.961952372,0.407142857,1,0,0,0
125,AgSbO3,Ag,Sb,1.28,0.95,0.6,1.93,2.05,2.76145322,2.075848892,-1.696142857,0.947523087,0.428571429,0,1,0,0
126,AgScO3,Ag,Sc,1.28,0.95,0.75,1.93,1.36,2.76145322,2.074614707,-2.27675,0.881416825,0.535714286,0,1,0,0
127,AgSiO3,Ag,Si,1.28,0.95,0.4,1.93,1.9,2.76145322,1.783360927,-1.411142857,1.05280343,0.285714286,0,0,1,0
128,AgSmO3,Ag,Sm,1.28,0.95,0.96,1.93,1.17,2.76145322,2.311832729,-2.734857143,0.802985667,0.685714286,0,0,0,1
129,AgSnO3,Ag,Sn,1.28,0.95,0.69,1.93,1.96,2.76145322,2.052287148,-1.896392857,0.906720657,0.492857143,0,1,0,0
130,AgSrO3,Ag,Sr,1.28,0.95,1.18,1.93,0.95,2.76145322,2.452968591,-3.224357143,0.734514021,0.842857143,0,1,0,0
131,AgTaO3,Ag,Ta,1.28,0.95,0.64,1.93,1.5,2.76145322,1.956808277,-2.018285714,0.928944203,0.457142857,1,0,0,0
132,AgTbO3,Ag,Tb,1.28,0.95,0.84,1.93,1.2,2.76145322,2.256932729,-2.509,0.846002756,0.6,0,0,0,1
134,AgTeO3,Ag,Te,1.28,0.95,0.77,1.93,2.1,2.76145322,2.115491508,-1.973821429,0.873293168,0.55,0,1,0,0
135,AgThO3,Ag,Th,1.28,0.95,0.94,1.93,1.3,2.76145322,2.246056043,-2.640071429,0.809848792,0.671428571,0,0,0,1
136,AgTiO3,Ag,Ti,1.28,0.95,0.71,1.93,1.54,2.76145322,1.927848949,-2.12375,0.898126149,0.507142857,0,1,0,0
137,AgTlO3,Ag,Tl,1.28,0.95,1.2,1.93,1.62,2.76145322,2.297683747,-2.953428571,0.728863913,0.857142857,0,0,0,1
138,AgTmO3,Ag,Tm,1.28,0.95,0.96,1.93,1.25,2.76145322,2.119700811,-2.698285714,0.802985667,0.685714286,0,0,0,1
139,AgUO3,Ag,U,1.28,0.95,0.76,1.93,1.38,2.76145322,2.0478,-2.285285714,0.877336191,0.542857143,1,0,0,0
140,AgVO3,Ag,V,1.28,0.95,0.54,1.93,1.63,2.76145322,1.758039163,-1.782071429,0.976827925,0.385714286,0,0,1,0
141,AgWO3,Ag,W,1.28,0.95,0.62,1.93,2.36,2.76145322,1.7456,-1.589785714,0.93814167,0.442857143,0,0,0,1
142,AgYO3,Ag,Y,1.28,0.95,0.9,1.93,1.22,2.76145322,2.235124352,-2.605928571,0.823933119,0.642857143,0,0,0,1
143,AgYbO3,Ag,Yb,1.28,0.95,0.95,1.93,1.1,2.76145322,2.223980699,-2.749178571,0.806402627,0.678571429,0,1,0,0
144,AgZnO3,Ag,Zn,1.28,0.95,0.74,1.93,1.65,2.76145322,2.096140752,-2.1265,0.885535595,0.528571429,0,0,0,1
145,AgZrO3,Ag,Zr,1.28,0.95,0.72,1.93,1.33,2.76145322,2.043777903,-2.237428571,0.893889705,0.514285714,0,1,0,0
147,AlAgO3,Al,Ag,0.54,0.54,0.75,1.61,1.93,2.186788809,2.488353231,-1.702821429,0.638040537,0.535714286,0,1,0,0
148,Al2O3,Al,Al,0.54,0.54,0.54,1.61,1.61,2.186788809,1.892894405,-1.369285714,0.707106781,0.385714286,0,0,0,1
149,AlAsO3,Al,As,0.54,0.54,0.58,1.61,2.18,2.186788809,1.932227032,-1.334642857,0.692821796,0.414285714,0,0,0,1
150,AlAuO3,Al,Au,0.54,0.54,0.93,1.61,2.54,2.186788809,2.31369847,-1.923964286,0.588749852,0.664285714,0,0,0,1
151,AlBO3,Al,B,0.54,0.54,0.27,1.61,2.04,2.186788809,1.624661665,-0.778178571,0.821429434,0.192857143,0,0,0,1
152,AlBaO3,Al,Ba,0.54,0.54,1.35,1.61,0.89,2.186788809,2.64009357,-3.032678571,0.498831693,0.964285714,0,1,0,0
153,AlBeO3,Al,Be,0.54,0.54,0.45,1.61,1.57,2.186788809,1.803349248,-1.207607143,0.741506571,0.321428571,0,0,0,1
154,AlBiO3,Al,Bi,0.54,0.54,0.9,1.61,2.02,2.186788809,2.215655462,-1.967785714,0.596429198,0.642857143,0,1,0,0
155,AlCaO3,Al,Ca,0.54,0.54,1.0,1.61,1.0,2.186788809,2.318139449,-2.352714286,0.571577981,0.714285714,0,1,0,0
156,AlCdO3,Al,Cd,0.54,0.54,0.95,1.61,1.69,2.186788809,2.286435201,-2.125535714,0.583739215,0.678571429,0,1,0,0
157,AlCeO3,Al,Ce,0.54,0.54,1.01,1.61,1.12,2.186788809,2.268642439,-2.348392857,0.569206289,0.721428571,0,1,0,0
158,AlCoO3,Al,Co,0.54,0.54,0.61,1.61,1.88,2.186788809,1.930310969,-1.448964286,0.682481172,0.435714286,0,0,0,1
159,AlCrO3,Al,Cr,0.54,0.54,0.62,1.61,1.66,2.186788809,1.960053288,-1.510214286,0.679102552,0.442857143,0,0,0,1
160,AlCsO3,Al,Cs,0.54,0.54,1.67,1.61,0.79,2.186788809,3.009747218,-3.65425,0.446836207,1.192857143,0,0,0,1
161,AlCuO3,Al,Cu,0.54,0.54,0.54,1.61,1.9,2.186788809,2.005573846,-1.313357143,0.707106781,0.385714286,0,0,0,1
162,AlDyO3,Al,Dy,0.54,0.54,0.91,1.61,1.22,2.186788809,2.255580699,-2.140892857,0.593847253,0.65,1,0,0,0
163,AlErO3,Al,Er,0.54,0.54,0.89,1.61,1.24,2.186788809,2.250676638,-2.099392857,0.599033692,0.635714286,0,1,0,0
164,AlEuO3,Al,Eu,0.54,0.54,0.95,1.61,1.2,2.186788809,2.354367494,-2.220035714,0.583739215,0.678571429,0,1,0,0
165,AlFeO3,Al,Fe,0.54,0.54,0.65,1.61,1.83,2.186788809,1.999521816,-1.533892857,0.669164466,0.464285714,0,0,0,1
166,AlGaO3,Al,Ga,0.54,0.54,0.62,1.61,1.81,2.186788809,1.974643898,-1.481285714,0.679102552,0.442857143,0,0,0,1
167,AlGdO3,Al,Gd,0.54,0.54,0.94,1.61,1.2,2.186788809,2.28415608,-2.201214286,0.586233827,0.671428571,1,0,0,0
168,AlGeO3,Al,Ge,0.54,0.54,0.63,1.61,2.01,2.186788809,1.899964183,-1.461535714,0.675757219,0.45,0,0,0,1
169,AlHfO3,Al,Hf,0.54,0.54,0.71,1.61,1.3,2.186788809,2.027412322,-1.749035714,0.650136093,0.507142857,0,0,0,1
170,AlHgO3,Al,Hg,0.54,0.54,1.11,1.61,2.0,2.186788809,2.323654714,-2.366892857,0.546528747,0.792857143,0,1,0,0
171,AlHoO3,Al,Ho,0.54,0.54,0.9,1.61,1.23,2.186788809,2.25865608,-2.120142857,0.596429198,0.642857143,1,0,0,0
172,AlInO3,Al,In,0.54,0.54,0.8,1.61,1.78,2.186788809,2.147680955,-1.825857143,0.623539616,0.571428571,0,1,0,0
173,AlIrO3,Al,Ir,0.54,0.54,0.68,1.61,2.2,2.186788809,2.009082787,-1.519,0.659513056,0.485714286,0,0,0,1
174,AlKO3,Al,K,0.54,0.54,1.38,1.61,0.82,2.186788809,2.723507129,-3.102642857,0.493448617,0.985714286,0,1,0,0
175,AlLaO3,Al,La,0.54,0.54,1.03,1.61,1.1,2.186788809,2.376509378,-2.389892857,0.564521463,0.735714286,0,1,0,0
176,AlLiO3,Al,Li,0.54,0.54,0.76,1.61,0.98,2.186788809,2.095547886,-1.904857143,0.635086646,0.542857143,0,0,0,1
177,AlLuO3,Al,Lu,0.54,0.54,0.86,1.61,1.27,2.186788809,2.209114963,-2.037142857,0.606985467,0.614285714,1,0,0,0
178,AlMgO3,Al,Mg,0.54,0.54,0.72,1.61,1.31,2.186788809,2.046489492,-1.765928571,0.647069413,0.514285714,0,0,0,1
179,AlMnO3,Al,Mn,0.54,0.54,0.65,1.61,1.55,2.186788809,2.16999357,-1.587892857,0.669164466,0.464285714,0,0,0,1
180,AlMoO3,Al,Mo,0.54,0.54,0.69,1.61,2.16,2.186788809,1.7893,-1.545535714,0.656357491,0.492857143,0,0,0,1
181,AlNaO3,Al,Na,0.54,0.54,1.02,1.61,0.93,2.186788809,2.425828064,-2.403857143,0.566854196,0.728571429,0,1,0,0
182,AlNbO3,Al,Nb,0.54,0.54,0.72,1.61,1.6,2.186788809,1.955055241,-1.71,0.647069413,0.514285714,0,0,0,1
183,AlNdO3,Al,Nd,0.54,0.54,0.98,1.61,1.14,2.186788809,2.320966993,-2.288071429,0.576381158,0.7,0,1,0,0
184,AlNiO3,Al,Ni,0.54,0.54,0.6,1.61,1.91,2.186788809,2.103725488,-1.424357143,0.685893578,0.428571429,0,0,0,1
186,AlOsO3,Al,Os,0.54,0.54,0.57,1.61,2.2,2.186788809,1.954921624,-1.311964286,0.696338658,0.407142857,0,0,0,1
188,AlPbO3,Al,Pb,0.54,0.54,0.99,1.61,2.33,2.186788809,2.362863567,-2.077392857,0.573969521,0.707142857,0,1,0,0
189,AlPdO3,Al,Pd,0.54,0.54,0.76,1.61,2.2,2.186788809,2.04250519,-1.669571429,0.635086646,0.542857143,0,0,0,1
191,AlPrO3,Al,Pr,0.54,0.54,0.99,1.61,1.13,2.186788809,2.340791612,-2.308821429,0.573969521,0.707142857,0,1,0,0
192,AlPtO3,Al,Pt,0.54,0.54,0.67,1.61,2.28,2.186788809,2.64390067,-1.48475,0.662699109,0.478571429,0,0,0,1
193,AlPuO3,Al,Pu,0.54,0.54,0.83,1.61,1.28,2.186788809,2.226583834,-1.97875,0.615151191,0.592857143,0,1,0,0
194,AlRbO3,Al,Rb,0.54,0.54,1.52,1.61,0.82,2.186788809,2.825996661,-3.366142857,0.469790122,1.085714286,0,0,0,1
195,AlReO3,Al,Re,0.54,0.54,0.63,1.61,1.9,2.186788809,1.98797081,-1.48275,0.675757219,0.45,0,0,0,1
196,AlRhO3,Al,Rh,0.54,0.54,0.67,1.61,2.28,2.186788809,2.001424352,-1.48475,0.662699109,0.478571429,0,0,0,1
197,AlRuO3,Al,Ru,0.54,0.54,0.68,1.61,2.2,2.186788809,2.018753288,-1.519,0.659513056,0.485714286,0,0,0,1
198,AlSbO3,Al,Sb,0.54,0.54,0.76,1.61,2.05,2.186788809,2.075848892,-1.6985,0.635086646,0.542857143,0,0,0,1
199,AlScO3,Al,Sc,0.54,0.54,0.75,1.61,1.36,2.186788809,2.074614707,-1.81275,0.638040537,0.535714286,0,0,0,1
200,AlSiO3,Al,Si,0.54,0.54,0.4,1.61,1.9,2.186788809,1.783360927,-1.049857143,0.762103975,0.285714286,0,0,0,1
201,AlSmO3,Al,Sm,0.54,0.54,0.96,1.61,1.17,2.186788809,2.311832729,-2.244642857,0.581265744,0.685714286,0,1,0,0
202,AlSnO3,Al,Sn,0.54,0.54,0.69,1.61,1.96,2.186788809,2.052287148,-1.584107143,0.656357491,0.492857143,0,0,0,1
203,AlSrO3,Al,Sr,0.54,0.54,1.18,1.61,0.95,2.186788809,2.452968591,-2.701142857,0.531700448,0.842857143,0,1,0,0
204,AlTaO3,Al,Ta,0.54,0.54,0.72,1.61,1.5,2.186788809,1.956808277,-1.729285714,0.647069413,0.514285714,0,0,0,1
205,AlTbO3,Al,Tb,0.54,0.54,0.92,1.61,1.2,2.186788809,2.256932729,-2.163571429,0.591287567,0.657142857,1,0,0,0
207,AlTeO3,Al,Te,0.54,0.54,0.77,1.61,2.1,2.186788809,2.115491508,-1.707678571,0.632159979,0.55,0,0,0,1
208,AlThO3,Al,Th,0.54,0.54,0.94,1.61,1.3,2.186788809,2.246056043,-2.181928571,0.586233827,0.671428571,0,0,0,1
209,AlTiO3,Al,Ti,0.54,0.54,0.67,1.61,1.54,2.186788809,1.927848949,-1.627464286,0.662699109,0.478571429,0,0,0,1
210,AlTlO3,Al,Tl,0.54,0.54,0.89,1.61,1.62,2.186788809,2.297683747,-2.026107143,0.599033692,0.635714286,0,1,0,0
211,AlTmO3,Al,Tm,0.54,0.54,0.88,1.61,1.25,2.186788809,2.119700811,-2.078642857,0.601661033,0.628571429,1,0,0,0
212,AlUO3,Al,U,0.54,0.54,1.03,1.61,1.38,2.186788809,2.0478,-2.335892857,0.564521463,0.735714286,0,1,0,0
213,AlVO3,Al,V,0.54,0.54,0.64,1.61,1.63,2.186788809,1.758039163,-1.553642857,0.672444684,0.457142857,0,1,0,0
214,AlWO3,Al,W,0.54,0.54,0.66,1.61,2.36,2.186788809,1.7456,-1.4505,0.665916095,0.471428571,0,0,0,1
215,AlYO3,Al,Y,0.54,0.54,0.9,1.61,1.22,2.186788809,2.235124352,-2.122071429,0.596429198,0.642857143,1,0,0,0
216,AlYbO3,Al,Yb,0.54,0.54,0.87,1.61,1.1,2.186788809,2.223980699,-2.08875,0.604311522,0.621428571,0,1,0,0
217,AlZnO3,Al,Zn,0.54,0.54,0.74,1.61,1.65,2.186788809,2.096140752,-1.738,0.641022035,0.528571429,0,0,0,1
218,AlZrO3,Al,Zr,0.54,0.54,0.72,1.61,1.33,2.186788809,2.043777903,-1.762071429,0.647069413,0.514285714,0,0,0,1
220,AsAgO3,As,Ag,0.58,0.52,0.75,2.18,1.93,2.214684508,2.488353231,-1.571714286,0.651196012,0.535714286,0,0,0,1
221,AsAlO3,As,Al,0.58,0.52,0.54,2.18,1.61,2.214684508,1.892894405,-1.2855,0.721686302,0.385714286,0,0,0,1
222,As2O3,As,As,0.58,0.52,0.58,2.18,2.18,2.214684508,1.932227032,-1.234571429,0.707106781,0.414285714,0,0,0,1
223,AsAuO3,As,Au,0.52,0.52,0.93,2.18,2.54,2.214684508,2.31369847,-1.728214286,0.582680266,0.664285714,0,0,0,1
224,AsBO3,As,B,0.58,0.52,0.27,2.18,2.04,2.214684508,1.624661665,-0.743214286,0.838366124,0.192857143,0,0,0,1
225,AsBaO3,As,Ba,0.52,0.52,1.35,2.18,0.89,2.214684508,2.64009357,-2.739642857,0.493689098,0.964285714,0,1,0,0
226,AsBeO3,As,Be,0.52,0.52,0.45,2.18,1.57,2.214684508,1.803349248,-1.102642857,0.733862173,0.321428571,0,0,0,1
227,AsBiO3,As,Bi,0.52,0.52,0.9,2.18,2.02,2.214684508,2.215655462,-1.774428571,0.590280443,0.642857143,0,0,0,1
228,AsCaO3,As,Ca,0.52,0.52,1.0,2.18,1.0,2.214684508,2.318139449,-2.131714286,0.565685425,0.714285714,0,1,0,0
229,AsCdO3,As,Cd,0.52,0.52,0.95,2.18,1.69,2.214684508,2.286435201,-1.919642857,0.577721285,0.678571429,0,0,0,1
230,AsCeO3,As,Ce,0.58,0.52,0.87,2.18,1.12,2.214684508,2.268642439,-1.940928571,0.616771554,0.621428571,0,0,0,1
231,AsCoO3,As,Co,0.58,0.52,0.61,2.18,1.88,2.214684508,1.930310969,-1.347071429,0.696552949,0.435714286,0,0,0,1
232,AsCrO3,As,Cr,0.58,0.52,0.62,2.18,1.66,2.214684508,1.960053288,-1.409428571,0.693104667,0.442857143,0,0,0,1
233,AsCsO3,As,Cs,0.52,0.52,1.67,2.18,0.79,2.214684508,3.009747218,-3.295357143,0.442229648,1.192857143,0,0,0,1
234,AsCuO3,As,Cu,0.58,0.52,0.54,2.18,1.9,2.214684508,2.005573846,-1.225428571,0.721686302,0.385714286,0,0,0,1
235,AsDyO3,As,Dy,0.58,0.52,0.91,2.18,1.22,2.214684508,2.255580699,-1.987357143,0.606091527,0.65,0,0,0,1
236,AsErO3,As,Er,0.58,0.52,0.89,2.18,1.24,2.214684508,2.250676638,-1.949642857,0.611384903,0.635714286,0,0,0,1
237,AsEuO3,As,Eu,0.58,0.52,0.95,2.18,1.2,2.214684508,2.354367494,-2.058642857,0.595775075,0.678571429,0,1,0,0
238,AsFeO3,As,Fe,0.58,0.52,0.65,2.18,1.83,2.214684508,1.999521816,-1.424571429,0.682961672,0.464285714,0,0,0,1
239,AsGaO3,As,Ga,0.58,0.52,0.62,2.18,1.81,2.214684508,1.974643898,-1.378357143,0.693104667,0.442857143,0,0,0,1
240,AsGdO3,As,Gd,0.58,0.52,0.94,2.18,1.2,2.214684508,2.28415608,-2.041857143,0.598321123,0.671428571,0,0,0,1
241,AsGeO3,As,Ge,0.58,0.52,0.53,2.18,2.01,2.214684508,1.899964183,-1.185857143,0.72542561,0.378571429,0,0,0,1
242,AsHfO3,As,Hf,0.58,0.52,0.71,2.18,1.3,2.214684508,2.027412322,-1.635071429,0.663540961,0.507142857,0,0,0,1
243,AsHgO3,As,Hg,0.52,0.52,1.11,2.18,2.0,2.214684508,2.323654714,-2.130642857,0.54089443,0.792857143,0,0,0,1
244,AsHoO3,As,Ho,0.58,0.52,0.9,2.18,1.23,2.214684508,2.25865608,-1.9685,0.608726707,0.642857143,0,0,0,1
245,AsInO3,As,In,0.58,0.52,0.8,2.18,1.78,2.214684508,2.147680955,-1.686714286,0.636396103,0.571428571,0,0,0,1
246,AsIrO3,As,Ir,0.58,0.52,0.63,2.18,2.2,2.214684508,2.009082787,-1.314357143,0.689690358,0.45,0,0,0,1
247,AsKO3,As,K,0.52,0.52,1.38,2.18,0.82,2.214684508,2.723507129,-2.803,0.488361518,0.985714286,0,1,0,0
248,AsLaO3,As,La,0.58,0.52,1.03,2.18,1.1,2.214684508,2.376509378,-2.213642857,0.576161081,0.735714286,0,0,0,1
249,AsLiO3,As,Li,0.52,0.52,0.76,2.18,0.98,2.214684508,2.095547886,-1.732571429,0.628539361,0.542857143,0,0,0,1
250,AsLuO3,As,Lu,0.58,0.52,0.86,2.18,1.27,2.214684508,2.209114963,-1.893071429,0.619500631,0.614285714,0,0,0,1
251,AsMgO3,As,Mg,0.52,0.52,0.72,2.18,1.31,2.214684508,2.046489492,-1.604142857,0.640398594,0.514285714,0,0,0,1
252,AsMnO3,As,Mn,0.58,0.52,0.53,2.18,1.55,2.214684508,2.16999357,-1.281142857,0.72542561,0.378571429,0,0,0,1
253,AsMoO3,As,Mo,0.58,0.52,0.65,2.18,2.16,2.214684508,1.7893,-1.356214286,0.682961672,0.464285714,0,0,0,1
254,AsNaO3,As,Na,0.52,0.52,1.02,2.18,0.93,2.214684508,2.425828064,-2.178285714,0.561010339,0.728571429,0,1,0,0
255,AsNbO3,As,Nb,0.58,0.52,0.68,2.18,1.6,2.214684508,1.955055241,-1.522571429,0.673111263,0.485714286,0,0,0,1
256,AsNdO3,As,Nd,0.58,0.52,0.98,2.18,1.14,2.214684508,2.320966993,-2.121428571,0.588265305,0.7,0,0,0,1
257,AsNiO3,As,Ni,0.58,0.52,0.6,2.18,1.91,2.214684508,2.103725488,-1.324071429,0.700035713,0.428571429,0,0,0,1
259,AsOsO3,As,Os,0.52,0.52,0.57,2.18,2.2,2.214684508,1.954921624,-1.187071429,0.689159909,0.407142857,0,0,0,1
261,AsPbO3,As,Pb,0.58,0.52,0.78,2.18,2.33,2.214684508,2.362863567,-1.539214286,0.642234599,0.557142857,0,1,0,0
262,AsPdO3,As,Pd,0.58,0.52,0.62,2.18,2.2,2.214684508,2.04250519,-1.297571429,0.693104667,0.442857143,0,0,0,1
264,AsPrO3,As,Pr,0.58,0.52,0.85,2.18,1.13,2.214684508,2.340791612,-1.905285714,0.622253967,0.607142857,0,0,0,1
265,AsPtO3,As,Pt,0.52,0.52,0.67,2.18,2.28,2.214684508,2.64390067,-1.340071429,0.655867159,0.478571429,0,0,0,1
266,AsPuO3,As,Pu,0.52,0.52,0.83,2.18,1.28,2.214684508,2.226583834,-1.794357143,0.608809426,0.592857143,0,0,0,1
267,AsRbO3,As,Rb,0.52,0.52,1.52,2.18,0.82,2.214684508,2.825996661,-3.038,0.464946925,1.085714286,0,1,0,0
268,AsReO3,As,Re,0.58,0.52,0.63,2.18,1.9,2.214684508,1.98797081,-1.3765,0.689690358,0.45,0,0,0,1
269,AsRhO3,As,Rh,0.58,0.52,0.67,2.18,2.28,2.214684508,2.001424352,-1.364928571,0.676363008,0.478571429,0,0,0,1
270,AsRuO3,As,Ru,0.58,0.52,0.62,2.18,2.2,2.214684508,2.018753288,-1.297571429,0.693104667,0.442857143,0,0,0,1
271,AsSbO3,As,Sb,0.58,0.52,0.68,2.18,2.05,2.214684508,2.075848892,-1.429357143,0.673111263,0.485714286,0,0,0,1
272,AsScO3,As,Sc,0.58,0.52,0.75,2.18,1.36,2.214684508,2.074614707,-1.689785714,0.651196012,0.535714286,0,0,0,1
273,AsSiO3,As,Si,0.58,0.52,0.4,2.18,1.9,2.214684508,1.783360927,-0.990428571,0.777817459,0.285714286,0,0,0,1
